code,name,manufacture,content,expiry_date,quantity,saleprice,tag,company_code,unit,dosage,"entry_price
",number_1,Number_2,Number_3,Number_4
18,"Vaccin sởi, quai bị, rubella - M-M-R II",Mỹ,,2030-10-27,27,"190,000",default,1,Lọ,"0,5ml","190,000",6,12,24,36
19,Vaccin rotavirus - ROTATEQ,Mỹ,,2030-10-28,28,"600,000",default,1,Liều,2ml,"670,000",6,12,24,36
20,Vaccin Hib - SYNFLORIX,Bỉ,,2030-10-29,29,"925,000",default,1,Liều,"0,5ml","935,000",6,12,24,36
21,"Vaccin 4 trong 1 (Bạch hầu, uốn ván, ho gà, bại liệt) - TETRAXIM",Pháp,,2030-10-30,30,"410,000",default,1,Liều,"0,5ml","410,000",6,12,24,36
22,"Vaccin viêm gan A,viêm gan B  - TWINRIX",Bỉ,,2030-10-31,31,"510,000",default,1,Liều,1ml,"550,000",6,12,24,36
23,Vaccin não mô cầu typ B&C - VA MENGOC BC,Cuba,,2030-11-01,32,"210,000",other,1,Lọ,"0,5ml","210,000",6,12,24,36
24,Vaccin thủy đậu - VARIVAX,Mỹ,,2030-11-02,33,"710,000",other,1,Lọ,"0,5ml","760,000",6,12,24,36
25,"Vaccin cúm - VAXIGRIP -0,25ml",Pháp,,2030-11-03,34,"190,000",other,1,Bơm Tiêm,"0,25ml","220,000",6,12,24,36
26,"Vaccin cúm - VAXIGRIP -0,5ml",Pháp,,2030-11-04,35,"245,000",other,1,Bơm Tiêm,"0,5ml","275,000",6,12,24,36
27,Vaccin viêm não Nhật Bản - IMOJEV,Thái Lan,,2030-11-05,36,"675,000",other,1,Hộp,"0,5ml","680,000",6,12,24,36
28,Vaccin lao - BCG,Việt Nam,,2030-11-06,37,"115,000",other,1,Lọ,1ml,,6,12,24,36
29,Vaccin viêm gan A - HAVAX,Việt Nam,,2030-11-07,38,"135,000",other,1,Liều,"0,5ml","135,000",6,12,24,36
30,Vaccin uốn ván hấp phụ - VAT,Việt Nam,,2030-11-08,39,"33,000",other,1,Ống,"0,5ml","33,000",6,12,24,36
31,"Vaccin sởi, quai bị, rubella - Measles, Mumps and Rubella Vaccine",Ấn Độ,,2030-11-09,40,"175,000",other,1,Ống,"0,5ml","175,000",6,12,24,36
32,Vaccin viêm phổi và viêm màng não mủ - QUIMI-HIB,Cuba,,2030-11-10,41,"230,000",other,1,Lọ,"0,5ml","230,000",6,12,24,36
33,Vaccin Thuỷ đậu - VARICELLA,Hàn Quốc,,2030-11-11,42,"590,000",other,1,Lọ,"0,7ml","590,000",6,12,24,36
34,Huyết thanh kháng uốn ván - SAT,Việt Nam,,2030-11-12,43,"48,000",other,1,Ống,1500UI,"48,000",6,12,24,36
35,"Vaccin 5 trong 1 (bạch hầu, uốn ván, ho gà, bại liệt, Hib) - PENTAXIM",Pháp,,2030-11-13,44,"705,000",other,1,Lọ,"0,5ml","705,000",6,12,24,36
36,Vaccin viêm não mô cầu - A+C,Pháp,,2030-11-14,45,"175,000",other,1,Liều,"0,5ml",,6,12,24,36
37,Vaccin  rotavirus - ROTARIX,Bỉ,,2030-11-15,46,"800,000",other,1,Liều,"1,5ml","800,000",6,12,24,36
